,path_model,MAPE,RMSE,model_type
0,model_MLP_22_12_01_21h45m20.h5,2.7470651396967654,2.246355497865166,MLP
1,model_MLP_22_12_01_21h47m59.h5,2.254221649053427,2.1977128296466826,MLP
2,model_MLP_22_12_01_21h50m34.h5,1.5151569888780256,2.1284671811518416,MLP
3,model_MLP_22_12_01_21h53m10.h5,1.524914094154382,2.08626188982578,MLP
4,model_MLP_22_12_01_21h55m20.h5,2.244576134453787,2.218577580938398,MLP
5,model_MLP_22_12_01_21h57m27.h5,1.4025967961641794,2.079271059220835,MLP
6,model_MLP_22_12_01_21h59m35.h5,1.180817861081137,2.079460127187013,MLP
7,model_MLP_22_12_01_22h01m40.h5,1.2485500432993242,2.0786123829062624,MLP
8,model_MLP_22_12_01_22h03m46.h5,1.234856915028467,2.0883272455831503,MLP
9,model_MLP_22_12_01_22h05m50.h5,3.116992241092534,2.4331584453890183,MLP
10,model_MLP_22_12_06_23h36m02.h5,1.7963822536261287,2.149524748022394,MLP
11,model_MLP_22_12_06_23h37m16.h5,2.5972398000218844,2.1314498008648726,MLP
12,model_MLP_22_12_06_23h38m18.h5,2.2669932335123075,2.4592759709230463,MLP
