,path_model,MAPE,RMSE,model_type
0,model_MLP_22_12_01_21h45m20.h5,274.7065139696763,2.2463554978651668,MLP
1,model_MLP_22_12_01_21h47m59.h5,225.4221649053429,2.1977128296466835,MLP
2,model_MLP_22_12_01_21h50m34.h5,151.51569888780253,2.128467181151841,MLP
3,model_MLP_22_12_01_21h53m10.h5,152.49140941543808,2.086261889825781,MLP
4,model_MLP_22_12_01_21h55m20.h5,224.45761344537854,2.218577580938398,MLP
5,model_MLP_22_12_01_21h57m27.h5,140.259679616418,2.079271059220835,MLP
6,model_MLP_22_12_01_21h59m35.h5,118.08178610811376,2.0794601271870117,MLP
7,model_MLP_22_12_01_22h01m40.h5,124.85500432993226,2.078612382906262,MLP
8,model_MLP_22_12_01_22h03m46.h5,123.4856915028467,2.0883272455831507,MLP
9,model_MLP_22_12_01_22h05m50.h5,311.69922410925386,2.4331584453890174,MLP
