,path_model,MAPE,RMSE,model_type
0,model_MLP_22_12_01_21h45m20.h5,274.7065139696763,2.2463554978651668,MLP
1,model_MLP_22_12_01_21h47m59.h5,225.4221649053429,2.1977128296466835,MLP
2,model_MLP_22_12_01_21h50m34.h5,151.51569888780253,2.128467181151841,MLP
3,model_MLP_22_12_01_21h53m10.h5,152.49140941543808,2.086261889825781,MLP
4,model_MLP_22_12_01_21h55m20.h5,224.45761344537854,2.218577580938398,MLP
5,model_MLP_22_12_01_21h57m27.h5,140.259679616418,2.079271059220835,MLP
6,model_MLP_22_12_01_21h59m35.h5,118.08178610811376,2.0794601271870117,MLP
7,model_MLP_22_12_01_22h01m40.h5,124.85500432993226,2.078612382906262,MLP
8,model_MLP_22_12_01_22h03m46.h5,123.4856915028467,2.0883272455831507,MLP
9,model_MLP_22_12_01_22h05m50.h5,311.69922410925386,2.4331584453890174,MLP
10,model_MLP_22_12_06_23h36m02.h5,179.63822536261276,2.1495247480223934,MLP
11,model_MLP_22_12_06_23h37m16.h5,259.7239800021885,2.131449800864871,MLP
12,model_MLP_22_12_06_23h38m18.h5,226.69932335123073,2.4592759709230463,MLP
13,model_MLP_22_12_14_20h07m00.h5,142.3690729105608,1.4570607595463552,MLP
14,model_MLP_22_12_14_20h07m41.h5,156.50441611634727,1.098558018819354,MLP
15,model_MLP_22_12_14_20h08m21.h5,121.89856226076259,1.9187256940911555,MLP
