date,open_ibova,open_oil,open_usd,open_petr4,open_vale
30/06/2010,61972,11.00160694,15.0718298,26.95999908,44.81999969
01/07/2010,60935,11.00160694,15.0718298,27.11000061,43.61000061
02/07/2010,61236,11.00160694,15.48163795,26.71999931,44.00999832
05/07/2010,61436,11.00160694,15.55449295,26.78000069,43.59999847
06/07/2010,60870,11.00160694,15.47253132,27,44.20000076
07/07/2010,62067,11.00160694,15.6592207,27.20000076,43.5
08/07/2010,63282,11.00160694,16.50615883,27.47999954,44.97999954
12/07/2010,63477,11.56233406,16.99337387,27.62000084,44.81999969
13/07/2010,62964,11.45586681,17.0070343,27.39999962,44.61000061
14/07/2010,63686,10.39474392,16.88864517,27.04999924,44.34999847
15/07/2010,63482,10.38054752,16.82034492,27.29999924,44.09000015
16/07/2010,63487,10.43378162,16.82489777,27.04000092,43.5
19/07/2010,62351,10.28827667,16.57445908,26.85000038,43.20000076
20/07/2010,63290,10.40539074,16.69284821,26.77000046,43.93999863
21/07/2010,64468,10.73188972,17.05256844,27.82999992,47.00999832
22/07/2010,64504,10.6822052,17.06622887,27.84000015,47.56000137
23/07/2010,65748,10.85965061,17.38952255,27.98999977,47.99000168
26/07/2010,66322,10.94837284,17.55344582,27.79000092,48.22999954
27/07/2010,66449,10.99096012,17.6672802,28,48.59999847
28/07/2010,66670,11.01580238,17.5306778,27.95000076,47.84000015
29/07/2010,66796,11.39198589,18.02700043,27.84000015,49
30/07/2010,66951,11.31390953,17.78111649,27.65999985,48.15000153
02/08/2010,67524,11.53394318,18.03155518,27.96999931,49
03/08/2010,68517,11.41327953,17.75379562,28.39999962,50.45000076
04/08/2010,67996,11.35649681,17.63995934,29.36000061,50.88000107
05/08/2010,68271,11.20744324,17.25291824,29.27000046,50.29999924
06/08/2010,68416,11.21099186,17.17551041,29.20000076,50.25999832
09/08/2010,68096,11.3245573,17.57621193,29.35000038,50.81999969
10/08/2010,67836,11.30326366,17.41684341,28.62000084,50.04999924
11/08/2010,67217,11.12581825,17.2164917,28.04000092,49.15000153
12/08/2010,65788,10.94127464,16.95239258,27.37999916,47.84999847
13/08/2010,65964,11.00160694,17.08899689,27.64999962,48.68000031
16/08/2010,66260,10.92708015,17.05256844,27.61000061,48.79000092
17/08/2010,66702,11.0796833,17.30300713,27.76000023,49.88000107
18/08/2010,67584,11.13646507,17.30300713,28.29000092,50.08000183
19/08/2010,67641,11.2784214,17.23470688,26.90999985,50.22000122
20/08/2010,66892,11.07258511,17.07533646,26.75,49.97999954
23/08/2010,66678,11.07258511,17.01614189,26.92000008,49.52999878
24/08/2010,65946,10.94837284,16.8704319,26.5,47.13000107
25/08/2010,65156,10.78867245,16.64276123,26.06999969,46.59999847
26/08/2010,64802,10.71414471,16.68829536,26.70000076,46.59999847
27/08/2010,63875,10.56863976,16.42419624,25.95000076,46.40000153
30/08/2010,65585,10.6822052,16.80213165,26.35000038,47.15000153
31/08/2010,64262,10.54024887,16.82489777,25.52000046,46.20000076
01/09/2010,65154,10.83125877,17.30300713,26.29999924,47.20999908
02/09/2010,67073,11.14356327,17.42139626,26.88999939,49.04999924
03/09/2010,66812,11.03709602,17.39407539,28.29999924,49.45000076
06/09/2010,66679,10.87739468,17.23470688,29.18000031,48.86999893
08/09/2010,66739,10.89159107,17.13908386,28.30999947,47.5
09/09/2010,66411,10.93772602,17.12542343,28.06999969,47.47000122
10/09/2010,66622,10.93417835,16.94783974,27.5,47.34999847
13/09/2010,66807,11.10807419,17.08899689,27.75,47.59999847
14/09/2010,68030,11.31745911,17.48514366,28.19000053,48.20000076
15/09/2010,67690,11.40973091,17.68549538,26,47.75999832
16/09/2010,68103,11.43457317,17.7720108,26.11000061,47.99000168
17/09/2010,67665,11.44167137,17.65817451,26.12999916,47.75
20/09/2010,67087,9.929837227,17.65362167,26.42000008,47.49000168
