,ibova_0,ibova_1,ibova_2,ibova_3,ibova_4,ibova_5,oil_0,oil_1,oil_2,oil_3,oil_4,oil_5,usd_0,usd_1,usd_2,usd_3,usd_4,usd_5,abev_0,abev_1,abev_2,abev_3,abev_4,abev_5,jbs_0,jbs_1,jbs_2,jbs_3,jbs_4,jbs_5,petr_0,petr_1,petr_2,petr_3,petr_4,petr_5,vale_0,vale_1,vale_2,vale_3,vale_4,vale_5
283,0.521140741404265,0.6868367776282088,0.5834929761978366,0.5455449315096311,0.3567675623776095,0.3277255679319048,0.97773340787976,1.0246921099549613,0.7149242000232191,0.6122445163029617,0.1918156190875284,0.235459737500515,-0.331072117340039,-0.3876907163305446,-0.5305207588994592,-0.6079974159210947,-0.3877449091349236,-0.5972144015280431,-0.5042587910917528,0.0136980055222002,0.2396763873419239,0.2049461623547132,0.422688770316487,0.8010864299304723,0.8099037449884252,1.0788472158254017,0.794823169484554,1.171566921809196,0.2560967540764134,0.310973660371448,1.2710521068770362,1.459052884397999,1.0669553988038296,0.3786718823040996,0.3772433677426013,0.5960062616238281,2.2268071322544483,2.526271905455611,2.1246260840269096,2.000665461197819,1.5769582045180122,1.4498333419270837
284,0.6868367776282088,0.5834929761978366,0.5455449315096311,0.3567675623776095,0.3277255679319048,0.4835239933373699,1.0246921099549613,0.7149242000232191,0.6122445163029617,0.1918156190875284,0.235459737500515,0.305159029200339,-0.3876907163305446,-0.5305207588994592,-0.6079974159210947,-0.3877449091349236,-0.5972144015280431,-0.53730640569432,0.0136980055222002,0.2396763873419239,0.2049461623547132,0.422688770316487,0.8010864299304723,0.7812498996419565,1.0788472158254017,0.794823169484554,1.171566921809196,0.2560967540764134,0.310973660371448,-0.0221429403615851,1.459052884397999,1.0669553988038296,0.3786718823040996,0.3772433677426013,0.5960062616238281,1.045322638649096,2.526271905455611,2.1246260840269096,2.000665461197819,1.5769582045180122,1.4498333419270837,1.2394081333450555
285,0.5834929761978366,0.5455449315096311,0.3567675623776095,0.3277255679319048,0.4835239933373699,0.3416128933131672,0.7149242000232191,0.6122445163029617,0.1918156190875284,0.235459737500515,0.305159029200339,0.4180436941094233,-0.5305207588994592,-0.6079974159210947,-0.3877449091349236,-0.5972144015280431,-0.53730640569432,-0.4138881637951962,0.2396763873419239,0.2049461623547132,0.422688770316487,0.8010864299304723,0.7812498996419565,0.8219724320056515,0.794823169484554,1.171566921809196,0.2560967540764134,0.310973660371448,-0.0221429403615851,-0.1328902356267303,1.0669553988038296,0.3786718823040996,0.3772433677426013,0.5960062616238281,1.045322638649096,0.8291011423683384,2.1246260840269096,2.000665461197819,1.5769582045180122,1.4498333419270837,1.2394081333450555,0.9431606597684464
286,0.5455449315096311,0.3567675623776095,0.3277255679319048,0.4835239933373699,0.3416128933131672,0.3990226370359692,0.6122445163029617,0.1918156190875284,0.235459737500515,0.305159029200339,0.4180436941094233,0.7018302930661848,-0.6079974159210947,-0.3877449091349236,-0.5972144015280431,-0.53730640569432,-0.4138881637951962,-0.2416105090346579,0.2049461623547132,0.422688770316487,0.8010864299304723,0.7812498996419565,0.8219724320056515,0.6561945594229409,1.171566921809196,0.2560967540764134,0.310973660371448,-0.0221429403615851,-0.1328902356267303,0.1663335715791739,0.3786718823040996,0.3772433677426013,0.5960062616238281,1.045322638649096,0.8291011423683384,0.8333950618265222,2.000665461197819,1.5769582045180122,1.4498333419270837,1.2394081333450555,0.9431606597684464,1.014788891436912
287,0.3567675623776095,0.3277255679319048,0.4835239933373699,0.3416128933131672,0.3990226370359692,0.4931500237690522,0.1918156190875284,0.235459737500515,0.305159029200339,0.4180436941094233,0.7018302930661848,0.6190201274448365,-0.3877449091349236,-0.5972144015280431,-0.53730640569432,-0.4138881637951962,-0.2416105090346579,-0.2611422031570852,0.422688770316487,0.8010864299304723,0.7812498996419565,0.8219724320056515,0.6561945594229409,0.7111813026127437,0.2560967540764134,0.310973660371448,-0.0221429403615851,-0.1328902356267303,0.1663335715791739,0.1107056121362264,0.3772433677426013,0.5960062616238281,1.045322638649096,0.8291011423683384,0.8333950618265222,0.7897732090812222,1.5769582045180122,1.4498333419270837,1.2394081333450555,0.9431606597684464,1.014788891436912,1.0597240563698072
288,0.3277255679319048,0.4835239933373699,0.3416128933131672,0.3990226370359692,0.4931500237690522,0.4526321511603409,0.235459737500515,0.305159029200339,0.4180436941094233,0.7018302930661848,0.6190201274448365,0.6001550791626094,-0.5972144015280431,-0.53730640569432,-0.4138881637951962,-0.2416105090346579,-0.2611422031570852,-0.1842763824886499,0.8010864299304723,0.7812498996419565,0.8219724320056515,0.6561945594229409,0.7111813026127437,0.6538511852645909,0.310973660371448,-0.0221429403615851,-0.1328902356267303,0.1663335715791739,0.1107056121362264,0.4755051874165535,0.5960062616238281,1.045322638649096,0.8291011423683384,0.8333950618265222,0.7897732090812222,0.3316567693963315,1.4498333419270837,1.2394081333450555,0.9431606597684464,1.014788891436912,1.0597240563698072,0.9213240661948788
289,0.4835239933373699,0.3416128933131672,0.3990226370359692,0.4931500237690522,0.4526321511603409,0.199561064725443,0.305159029200339,0.4180436941094233,0.7018302930661848,0.6190201274448365,0.6001550791626094,0.5110439837932615,-0.53730640569432,-0.4138881637951962,-0.2416105090346579,-0.2611422031570852,-0.1842763824886499,-0.106924794724648,0.7812498996419565,0.8219724320056515,0.6561945594229409,0.7111813026127437,0.6538511852645909,0.4742104353814436,-0.0221429403615851,-0.1328902356267303,0.1663335715791739,0.1107056121362264,0.4755051874165535,-0.2751485754970184,1.045322638649096,0.8291011423683384,0.8333950618265222,0.7897732090812222,0.3316567693963315,-0.0290602359112261,1.2394081333450555,0.9431606597684464,1.014788891436912,1.0597240563698072,0.9213240661948788,0.3303298683243142
290,0.3416128933131672,0.3990226370359692,0.4931500237690522,0.4526321511603409,0.199561064725443,0.2370142480752201,0.4180436941094233,0.7018302930661848,0.6190201274448365,0.6001550791626094,0.5110439837932615,0.4829171743083039,-0.4138881637951962,-0.2416105090346579,-0.2611422031570852,-0.1842763824886499,-0.106924794724648,0.0459577140706326,0.8219724320056515,0.6561945594229409,0.7111813026127437,0.6538511852645909,0.4742104353814436,0.3814573969966528,-0.1328902356267303,0.1663335715791739,0.1107056121362264,0.4755051874165535,-0.2751485754970184,0.5518154633809211,0.8291011423683384,0.8333950618265222,0.7897732090812222,0.3316567693963315,-0.0290602359112261,0.1417104376990553,0.9431606597684464,1.014788891436912,1.0597240563698072,0.9213240661948788,0.3303298683243142,0.3831196004864498
