,ibova_0,ibova_1,ibova_2,ibova_3,ibova_4,ibova_5,oil_0,oil_1,oil_2,oil_3,oil_4,oil_5,usd_0,usd_1,usd_2,usd_3,usd_4,usd_5
0,6.357283100888055,6.956410345346653,6.935300035264791,6.674509946072343,6.068789719223427,5.4155997587336255,6.357283100888055,6.956410345346653,6.935300035264791,6.674509946072343,6.068789719223427,5.4155997587336255,6.357283100888055,6.956410345346653,6.935300035264791,6.674509946072343,6.068789719223427,5.4155997587336255
1,6.956410345346653,6.935300035264791,6.674509946072343,6.068789719223427,5.4155997587336255,4.784690567740742,6.956410345346653,6.935300035264791,6.674509946072343,6.068789719223427,5.4155997587336255,4.784690567740742,6.956410345346653,6.935300035264791,6.674509946072343,6.068789719223427,5.4155997587336255,4.784690567740742
2,6.935300035264791,6.674509946072343,6.068789719223427,5.4155997587336255,4.784690567740742,4.116340575940955,6.935300035264791,6.674509946072343,6.068789719223427,5.4155997587336255,4.784690567740742,4.116340575940955,6.935300035264791,6.674509946072343,6.068789719223427,5.4155997587336255,4.784690567740742,4.116340575940955
3,6.674509946072343,6.068789719223427,5.4155997587336255,4.784690567740742,4.116340575940955,2.84619318912117,6.674509946072343,6.068789719223427,5.4155997587336255,4.784690567740742,4.116340575940955,2.84619318912117,6.674509946072343,6.068789719223427,5.4155997587336255,4.784690567740742,4.116340575940955,2.84619318912117
4,6.068789719223427,5.4155997587336255,4.784690567740742,4.116340575940955,2.84619318912117,1.887860601448494,6.068789719223427,5.4155997587336255,4.784690567740742,4.116340575940955,2.84619318912117,1.887860601448494,6.068789719223427,5.4155997587336255,4.784690567740742,4.116340575940955,2.84619318912117,1.887860601448494
5,5.4155997587336255,4.784690567740742,4.116340575940955,2.84619318912117,1.887860601448494,0.7933392116826827,5.4155997587336255,4.784690567740742,4.116340575940955,2.84619318912117,1.887860601448494,0.7933392116826827,5.4155997587336255,4.784690567740742,4.116340575940955,2.84619318912117,1.887860601448494,0.7933392116826827
6,4.784690567740742,4.116340575940955,2.84619318912117,1.887860601448494,0.7933392116826827,-0.5259677787868077,4.784690567740742,4.116340575940955,2.84619318912117,1.887860601448494,0.7933392116826827,-0.5259677787868077,4.784690567740742,4.116340575940955,2.84619318912117,1.887860601448494,0.7933392116826827,-0.5259677787868077
7,4.116340575940955,2.84619318912117,1.887860601448494,0.7933392116826827,-0.5259677787868077,-1.5066591534755578,4.116340575940955,2.84619318912117,1.887860601448494,0.7933392116826827,-0.5259677787868077,-1.5066591534755578,4.116340575940955,2.84619318912117,1.887860601448494,0.7933392116826827,-0.5259677787868077,-1.5066591534755578
8,2.84619318912117,1.887860601448494,0.7933392116826827,-0.5259677787868077,-1.5066591534755578,-2.0861272347895925,2.84619318912117,1.887860601448494,0.7933392116826827,-0.5259677787868077,-1.5066591534755578,-2.0861272347895925,2.84619318912117,1.887860601448494,0.7933392116826827,-0.5259677787868077,-1.5066591534755578,-2.0861272347895925
9,1.887860601448494,0.7933392116826827,-0.5259677787868077,-1.5066591534755578,-2.0861272347895925,-2.3627678189558323,1.887860601448494,0.7933392116826827,-0.5259677787868077,-1.5066591534755578,-2.0861272347895925,-2.3627678189558323,1.887860601448494,0.7933392116826827,-0.5259677787868077,-1.5066591534755578,-2.0861272347895925,-2.3627678189558323
10,0.7933392116826827,-0.5259677787868077,-1.5066591534755578,-2.0861272347895925,-2.3627678189558323,-2.462840696191322,0.7933392116826827,-0.5259677787868077,-1.5066591534755578,-2.0861272347895925,-2.3627678189558323,-2.462840696191322,0.7933392116826827,-0.5259677787868077,-1.5066591534755578,-2.0861272347895925,-2.3627678189558323,-2.462840696191322
11,-0.5259677787868077,-1.5066591534755578,-2.0861272347895925,-2.3627678189558323,-2.462840696191322,-2.5203687606683145,-0.5259677787868077,-1.5066591534755578,-2.0861272347895925,-2.3627678189558323,-2.462840696191322,-2.5203687606683145,-0.5259677787868077,-1.5066591534755578,-2.0861272347895925,-2.3627678189558323,-2.462840696191322,-2.5203687606683145
12,-1.5066591534755578,-2.0861272347895925,-2.3627678189558323,-2.462840696191322,-2.5203687606683145,-2.457558766454143,-1.5066591534755578,-2.0861272347895925,-2.3627678189558323,-2.462840696191322,-2.5203687606683145,-2.457558766454143,-1.5066591534755578,-2.0861272347895925,-2.3627678189558323,-2.462840696191322,-2.5203687606683145,-2.457558766454143
13,-2.0861272347895925,-2.3627678189558323,-2.462840696191322,-2.5203687606683145,-2.457558766454143,-2.4516171260556305,-2.0861272347895925,-2.3627678189558323,-2.462840696191322,-2.5203687606683145,-2.457558766454143,-2.4516171260556305,-2.0861272347895925,-2.3627678189558323,-2.462840696191322,-2.5203687606683145,-2.457558766454143,-2.4516171260556305
14,-2.3627678189558323,-2.462840696191322,-2.5203687606683145,-2.457558766454143,-2.4516171260556305,-2.4435209563305977,-2.3627678189558323,-2.462840696191322,-2.5203687606683145,-2.457558766454143,-2.4516171260556305,-2.4435209563305977,-2.3627678189558323,-2.462840696191322,-2.5203687606683145,-2.457558766454143,-2.4516171260556305,-2.4435209563305977
15,-2.462840696191322,-2.5203687606683145,-2.457558766454143,-2.4516171260556305,-2.4435209563305977,-2.215578491438111,-2.462840696191322,-2.5203687606683145,-2.457558766454143,-2.4516171260556305,-2.4435209563305977,-2.215578491438111,-2.462840696191322,-2.5203687606683145,-2.457558766454143,-2.4516171260556305,-2.4435209563305977,-2.215578491438111
16,-2.5203687606683145,-2.457558766454143,-2.4516171260556305,-2.4435209563305977,-2.215578491438111,-1.1149031025174674,-2.5203687606683145,-2.457558766454143,-2.4516171260556305,-2.4435209563305977,-2.215578491438111,-1.1149031025174674,-2.5203687606683145,-2.457558766454143,-2.4516171260556305,-2.4435209563305977,-2.215578491438111,-1.1149031025174674
17,-2.457558766454143,-2.4516171260556305,-2.4435209563305977,-2.215578491438111,-1.1149031025174674,-0.35510984469763157,-2.457558766454143,-2.4516171260556305,-2.4435209563305977,-2.215578491438111,-1.1149031025174674,-0.35510984469763157,-2.457558766454143,-2.4516171260556305,-2.4435209563305977,-2.215578491438111,-1.1149031025174674,-0.35510984469763157
18,-2.4516171260556305,-2.4435209563305977,-2.215578491438111,-1.1149031025174674,-0.35510984469763157,0.30132334639291286,-2.4516171260556305,-2.4435209563305977,-2.215578491438111,-1.1149031025174674,-0.35510984469763157,0.30132334639291286,-2.4516171260556305,-2.4435209563305977,-2.215578491438111,-1.1149031025174674,-0.35510984469763157,0.30132334639291286
19,-2.4435209563305977,-2.215578491438111,-1.1149031025174674,-0.35510984469763157,0.30132334639291286,0.7548028248257708,-2.4435209563305977,-2.215578491438111,-1.1149031025174674,-0.35510984469763157,0.30132334639291286,0.7548028248257708,-2.4435209563305977,-2.215578491438111,-1.1149031025174674,-0.35510984469763157,0.30132334639291286,0.7548028248257708
