,activation,best_epoch,best_model_path,hp_unit_1,hp_unit_2,hp_unit_3,hp_unit_4,kernel_size_1,kernel_size_2,learning_rate,n_filter_1,n_filter_2,val_mae,val_mse
0,tanh,405,Models/CNN/model_CNN_22_10_15_22h00m02.h5,,,,,5,,0.01,13,,0.15502387285232544,0.03924514353275299
1,softsign,14,Models/CNN/model_CNN_22_10_15_22h02m33.h5,,,,,7,,0.01,11,,0.1608247607946396,0.04133593663573265
2,tanh,281,Models/CNN/model_CNN_22_10_15_22h04m43.h5,,,,,5,,0.01,15,,0.15657484531402588,0.039589252322912216
3,selu,23,Models/CNN/model_CNN_22_10_15_22h07m00.h5,,,,,5,,0.01,8,,0.16068488359451294,0.042040687054395676
4,tanh,14,Models/CNN/model_CNN_22_10_15_22h09m08.h5,,,,,5,,0.001,12,,0.1569146066904068,0.03967868909239769
5,tanh,32,Models/CNN/model_CNN_22_10_15_22h11m20.h5,,,,,9,,0.001,14,,0.15685150027275085,0.04038343206048012
6,tanh,26,Models/CNN/model_CNN_22_10_15_22h13m33.h5,,,,,7,,0.001,11,,0.1576271653175354,0.04034927859902382
7,tanh,12,Models/CNN/model_CNN_22_10_15_22h15m43.h5,,,,,5,,0.001,14,,0.15605342388153076,0.039933279156684875
8,sigmoid,25,Models/CNN/model_CNN_22_10_15_22h17m56.h5,,,,,11,,0.01,7,,0.16284844279289246,0.04258517548441887
9,softsign,34,Models/CNN/model_CNN_22_10_15_22h20m07.h5,,,,,9,,0.001,16,,0.15952153503894806,0.04160638526082039
